country,Y2000M01,Y2000M02,Y2000M03,Y2000M04,Y2000M05,Y2000M06,Y2000M07,Y2000M08,Y2000M09,Y2000M10,Y2000M11,Y2000M12,Y2001M01,Y2001M02,Y2001M03,Y2001M04,Y2001M05,Y2001M06,Y2001M07,Y2001M08,Y2001M09,Y2001M10,Y2001M11,Y2001M12,Y2002M01,Y2002M02,Y2002M03,Y2002M04,Y2002M05,Y2002M06,Y2002M07,Y2002M08,Y2002M09,Y2002M10,Y2002M11,Y2002M12,Y2003M01,Y2003M02,Y2003M03,Y2003M04,Y2003M05,Y2003M06,Y2003M07,Y2003M08,Y2003M09,Y2003M10,Y2003M11,Y2003M12,Y2004M01,Y2004M02,Y2004M03,Y2004M04,Y2004M05,Y2004M06,Y2004M07,Y2004M08,Y2004M09,Y2004M10,Y2004M11,Y2004M12,Y2005M01,Y2005M02,Y2005M03,Y2005M04,Y2005M05,Y2005M06,Y2005M07,Y2005M08,Y2005M09,Y2005M10,Y2005M11,Y2005M12,Y2006M01,Y2006M02,Y2006M03,Y2006M04,Y2006M05,Y2006M06,Y2006M07,Y2006M08,Y2006M09,Y2006M10,Y2006M11,Y2006M12,Y2007M01,Y2007M02,Y2007M03,Y2007M04,Y2007M05,Y2007M06,Y2007M07,Y2007M08,Y2007M09,Y2007M10,Y2007M11,Y2007M12,Y2008M01,Y2008M02,Y2008M03,Y2008M04,Y2008M05,Y2008M06,Y2008M07,Y2008M08,Y2008M09,Y2008M10,Y2008M11,Y2008M12,Y2009M01,Y2009M02,Y2009M03,Y2009M04,Y2009M05,Y2009M06,Y2009M07,Y2009M08,Y2009M09,Y2009M10,Y2009M11,Y2009M12,Y2010M01,Y2010M02,Y2010M03,Y2010M04,Y2010M05,Y2010M06,Y2010M07,Y2010M08,Y2010M09,Y2010M10,Y2010M11,Y2010M12,Y2011M01,Y2011M02,Y2011M03,Y2011M04,Y2011M05,Y2011M06,Y2011M07,Y2011M08,Y2011M09,Y2011M10,Y2011M11,Y2011M12,Y2012M01,Y2012M02,Y2012M03,Y2012M04,Y2012M05,Y2012M06,Y2012M07,Y2012M08,Y2012M09,Y2012M10,Y2012M11,Y2012M12,Y2013M01,Y2013M02,Y2013M03,Y2013M04,Y2013M05,Y2013M06,Y2013M07,Y2013M08,Y2013M09,Y2013M10,Y2013M11,Y2013M12,Y2014M01,Y2014M02,Y2014M03,Y2014M04,Y2014M05,Y2014M06,Y2014M07,Y2014M08,Y2014M09,Y2014M10,Y2014M11,Y2014M12,Y2015M01,Y2015M02,Y2015M03,Y2015M04,Y2015M05,Y2015M06,Y2015M07,Y2015M08,Y2015M09,Y2015M10,Y2015M11,Y2015M12,group
沙烏地阿拉伯,5366,5036,8515,4196,8039,6422,6715,8356,6314,10177,5251,10753,6267,6488,8276,7898,6834,8201,11001,7735,11711,6036,5136,7340,6359,2268,7597,4728,12142,5149,4828,7231,11076,9098,7322,5510,12395,13295,13755,11227,12573,9254,11415,11910,12954,6669,16759,15207,8960,13185,14238,12708,12594,23132,11548,14222,21633,13814,13026,26954,15988,8186,20076,20957,21875,20974,8255,27678,22377,28464,25477,19539,30628,26709,23387,24716,37051,20358,19253,34427,26912,28609,18845,26817,32009,18516,22394,22098,30973,32224,28080,24800,33282,35445,24885,37613,39212,36021,41685,46669,40087,41992,51086,75395,33348,27669,25774,15641,17906,19410,16687,24332,20291,16026,34221,35571,14033,28719,19664,38858,39911,20011,37117,21907,43925,33023,38908,19510,24884,30110,32523,33147,31933,32066,27992,34340,47255,27903,36875,34344,30403,34727,39416,30006,26277,36965,42629,43405,39005,28428,39598,25081,44854,40080,38840,33046,34997,36774,42701,42398,27592,44162,32463,45666,42423,37608,43024,33632,38747,32684,46379,32110,25708,37252,38622,38944,35724,33129,20364,34010,20557,14398,18823,19955,25569,25547,15192,27720,16921,15284,14193,17147,中東
法國,4488,3465,4210,4479,4352,4041,5217,4744,5396,5916,5508,5676,4717,4091,3845,8841,5379,6942,10979,5074,4795,6226,7290,4344,4283,7086,3993,3698,3459,3416,4116,4413,4015,4650,5199,5694,4177,3282,4423,4213,3651,4305,8285,4751,4917,4165,4612,5479,4117,4591,6025,4446,5719,7961,7727,5847,5217,5676,5044,7984,6087,3765,6468,4839,4552,7166,11103,5102,7940,11832,5533,7702,6841,4514,4679,4771,4692,11467,5281,8740,5197,5624,5393,5115,5526,3878,8440,5058,8615,5993,6519,5530,5915,9643,6009,7235,7357,4706,7061,6546,7586,6637,6122,5843,5458,5254,4875,4629,3923,4164,4504,4266,3983,5575,4613,6316,5625,4877,5782,5326,5418,4110,4944,5078,5469,5917,5495,6402,5897,6262,10080,5892,5740,4567,7164,6986,6701,5647,5864,6667,5707,6761,8965,9657,9428,5354,6529,6300,5218,6547,6760,5832,6274,10025,9431,9999,9926,4424,5731,6005,5294,7062,7155,5809,6154,6517,5194,9639,6027,5183,6935,6859,6670,5773,10144,6943,7287,6527,7090,6790,6948,4495,8169,5956,6990,5870,8100,7582,7908,5074,9750,7599,歐洲
德國,14976,10250,14518,14952,15002,15243,15774,14617,16056,13419,16026,13226,12679,11135,12676,13183,12098,11820,12328,10790,9886,13268,10940,13500,10132,8209,13633,13368,13004,14053,14416,12917,13127,14049,13478,13480,12873,10991,16940,14151,13739,14401,12941,14252,13607,14846,16353,16717,12455,16211,16673,15038,18572,16569,15888,17214,15851,17438,16970,17288,17334,11383,17076,15866,17459,17605,19623,15946,16224,16869,18254,15098,15120,15153,16885,16450,18105,15175,17348,16136,16676,18469,17322,17056,18477,11996,19619,19145,21556,17867,23778,18415,20375,21262,19167,20908,24081,15552,22716,21878,19154,21552,22514,18680,21689,17589,14790,14801,8662,12809,13441,13276,13272,16644,15707,17745,19749,18014,19616,18337,20139,13544,22816,21710,22708,22561,22505,22475,22850,21958,24107,23785,20911,18499,26682,21193,28518,24213,24085,23019,24672,24261,20845,20332,17469,18035,20364,19097,19125,18627,20857,19941,21635,18666,16856,19343,21282,12872,22162,20211,20178,21337,22144,18311,24556,21803,19148,21187,19599,18777,28469,25688,23803,24484,24106,23097,26851,24065,21388,23639,21802,15533,28528,21092,23746,23949,25340,26505,19749,21711,23632,21211,歐洲
義大利,4073,3043,3733,3556,3625,3188,3876,3749,3751,4653,3568,2801,2891,3171,3336,3564,2985,2545,3433,3578,2686,3673,2293,2621,2448,1933,4374,3214,2656,3021,3830,3226,3325,3493,2843,3517,3435,2528,3708,3514,3194,3548,3841,3362,3159,2876,2639,3449,3422,3650,3875,3125,3942,3803,4002,4198,3683,3828,3861,3866,4239,3679,3722,3601,4098,3229,3834,4127,4022,4599,3906,3665,3781,3676,3646,4122,4795,3521,4163,4601,4085,4151,5634,4184,4427,3150,4045,3912,3751,4168,4613,4283,3957,3715,4125,4383,4900,3308,5051,4421,4162,4647,4432,4862,4744,3516,4020,3402,2168,3491,3391,4642,4462,6050,5616,6588,6407,5435,6209,5925,5882,5021,5282,4714,6219,5025,5168,5784,4532,4116,4975,4967,5262,4521,5870,5592,6957,5684,6556,5894,5440,4917,5293,5647,4503,6023,5368,5716,5744,4578,5512,4914,4621,4304,4003,4826,5076,4766,6101,4879,4614,5195,5437,4968,5455,4698,5184,6268,5116,5648,6456,5733,5927,5531,5757,6242,5361,4457,5559,6075,5343,4207,5667,4791,4967,5108,5473,6107,5273,4866,6084,6012,歐洲
英國,5019,3738,4487,5363,5852,4917,5463,5281,4601,5334,5378,5546,4258,5333,4468,4221,4044,3574,3720,4040,2979,4383,3516,4574,3359,2952,4308,4003,4282,3824,4747,3755,4234,3918,4062,4013,3674,3641,4381,3838,3505,3794,3813,3909,4153,4559,4587,5434,4171,4703,4751,4481,4638,5198,4660,5747,4644,5068,4764,5673,5376,3974,4537,4119,4749,3977,4489,4859,4607,5197,4607,4677,4556,4067,4935,4596,4686,4457,5324,4840,4833,5627,4765,5360,5755,4374,5724,4699,5393,5055,6798,4968,5082,4249,5410,5654,5214,3473,5627,6448,5673,5587,5080,5634,4965,4200,4477,3854,2249,3108,3571,2954,2840,3599,3347,3456,4065,3346,4489,3650,4037,3277,5208,3756,4564,5017,4283,4641,4340,4541,4748,4488,4633,3652,5691,4406,5809,5165,4156,4714,3524,5517,4848,4756,4157,3815,4620,6060,4188,4597,5031,4711,4522,4639,3961,4412,4927,3088,4401,4231,4279,4594,4998,4300,4449,4237,4321,4810,4346,3446,5104,5219,4187,4749,4324,4830,4532,4283,5044,4789,4896,3026,6575,4328,4542,7273,4198,4774,3614,4305,4692,4761,歐洲
奈及利亞,745,5,843,802,1333,1430,7,897,141,1023,1993,1104,943,930,2,4,1066,1939,1904,3,1734,899,1,668,1939,1,2023,841,1,0,1,0,729,1877,971,0,2,1,2,0,1099,1804,0,1948,1047,238,987,2594,1,0,0,1655,1234,2425,1157,0,0,1470,0,1745,0,1,1,0,1,0,0,0,0,1,0,0,0,2007,1,0,1,2,3,7,3,2,1,3,4,0,0,2969,0,2,0,1,2235,1125,1044,4131,1249,1627,4152,3886,50,1385,1452,2905,19,1838,3879,3976,0,1900,1716,0,1130,1065,925,968,1400,3509,1084,3122,1427,26,2916,4,574,491,468,1505,2436,96,858,2968,1743,910,3054,3,71,1199,2917,5970,1285,4789,4994,3415,6303,9,5091,7630,3950,3289,4980,5375,1451,1334,1687,1565,823,945,3396,1531,3022,1731,2606,541,1644,1,1852,3159,6,0,2,3583,1842,4991,2855,322,1225,0,2444,4,11,16,0,742,1,763,1,6,2,8,0,2,非洲
加拿大,3258,2885,3268,3594,4361,2786,3334,3342,3506,3669,3065,2987,2425,2602,2797,3001,3017,2884,2748,3601,2740,3398,2508,2491,2014,1412,2811,2775,2765,2724,3107,2580,3118,2357,3800,3436,2997,2360,3278,3157,3409,3065,3668,2724,3355,2652,3287,3453,2682,3101,3401,2820,3920,3905,3715,3263,3624,3167,3269,3513,3217,2466,3745,2698,3602,4212,3189,2930,4719,3713,3994,4167,3381,3287,3868,3795,4220,3801,3773,4443,2931,4000,3077,4164,3671,3964,5099,5031,6108,5533,5026,3868,3743,3746,5169,4889,4893,4457,4652,3967,5668,5368,5472,4846,4762,4181,3881,4151,2417,2907,3142,2347,3230,3600,3499,2837,3846,3527,3198,3385,4703,3099,3385,3719,3421,4756,4981,3393,3183,4190,5405,4211,4890,3635,7888,4687,3823,6040,5405,4131,5793,3583,4949,4658,3493,3833,4197,2942,4864,3833,4761,5170,4569,3565,3254,3728,3633,2173,4516,3373,4103,4121,3540,3962,3854,4291,2715,3532,3610,3868,4277,2513,3888,4413,4415,4604,3753,3652,3985,3006,3723,2296,5494,3388,3993,3535,2869,3761,2968,3300,3357,3005,北美洲
美國,61619,50164,58959,62871,69421,61134,85908,75670,59963,71341,71979,59478,58933,55801,58739,59544,52760,50330,54406,43001,40163,54792,48027,43817,41862,40199,56479,53599,55213,55268,68880,49971,60255,48722,50103,50560,46004,39076,48444,46553,42104,44080,56090,51407,46423,51069,51915,62284,49033,56034,65983,58552,65967,61235,58180,63235,58030,64871,62358,66528,64079,41683,61449,58312,67689,54340,53735,58033,51482,56911,59921,52840,49431,56981,57560,58158,60747,59460,76057,64243,57592,60607,71668,66094,68938,49222,70554,75224,71618,80350,85102,77826,72923,69259,65835,85151,80112,60207,88388,79714,65409,79481,73248,80567,68026,56137,51574,43712,28501,42469,43235,42803,44076,52855,52996,52686,55830,56636,63149,64064,63309,54270,71102,61120,64926,64306,68077,71357,67178,66652,76823,72894,71218,55391,72958,62438,75039,61885,61610,61809,52240,59726,57129,66371,55055,53551,59082,63990,63349,57704,69164,55676,55021,56195,50496,60809,67011,66184,65732,62210,69203,61445,56122,53828,55869,67035,57808,65713,67220,55164,77116,82146,70577,69402,67055,60959,59997,80915,64160,75237,72451,51625,63844,62171,74485,69961,84191,68365,58988,67698,91250,71826,北美洲
墨西哥,1297,884,1761,1707,1819,1351,1911,1505,1374,1518,1075,1143,882,693,1197,1151,911,1011,1412,1179,1631,1480,1238,1504,997,840,1366,983,946,1164,1248,804,1237,991,967,1081,795,691,1219,778,1186,872,931,939,1283,885,948,991,954,1267,783,1325,977,1616,1016,1639,1096,1584,779,953,933,704,899,910,862,1145,1036,1018,911,1131,886,999,833,965,1002,961,1009,1218,1101,1003,1267,1280,1542,1738,2041,1464,1829,1256,1612,1894,1110,1089,1388,1781,1955,2079,1926,948,1737,1179,2017,2650,1342,2640,1270,1012,940,792,574,515,724,955,698,1005,880,1135,1016,1369,1248,1195,1290,947,1237,1945,1631,1911,1481,1719,1600,1779,1623,1415,1640,1483,1237,1491,1381,1838,1245,1651,1209,1552,1933,1544,1262,1649,1251,1429,1213,1393,1434,1355,1407,1833,1903,1377,2033,1817,2747,2284,3127,2396,1582,1975,1844,1289,1288,1554,1506,1302,1714,2210,1933,1681,1522,1459,1417,1191,1511,1270,1681,1005,2015,1499,1599,1857,1446,1505,1712,1721,1426,1731,中美洲
巴拿馬,4,2,5,2,5,3,3,7,8,2,11,12,9,3,5,6,2,11,20,22,16,37,9,12,16,17,24,13,13,16,20,14,17,16,9,40,12,10,14,14,19,10,13,21,26,27,19,35,39,64,115,110,98,40,29,38,56,73,57,50,70,55,73,78,71,60,63,40,64,74,74,72,71,59,87,74,113,74,101,116,137,116,133,103,150,67,182,153,136,164,218,112,126,173,126,161,168,129,150,98,243,357,329,323,174,68,72,35,25,41,71,37,25,49,61,95,85,87,106,95,70,80,123,105,136,197,132,131,101,114,114,115,132,83,102,113,95,60,111,115,112,159,122,92,80,105,95,78,113,65,98,99,81,72,51,113,134,67,83,88,97,59,97,101,127,112,105,126,113,128,128,84,86,107,68,86,73,71,84,95,88,58,77,112,65,56,65,88,75,91,85,76,中美洲
阿根廷,157,90,162,210,449,128,309,164,139,93,160,176,101,110,88,90,81,105,80,84,99,195,88,113,80,57,196,601,160,117,270,158,340,563,733,830,165,106,207,127,201,1454,673,141,265,889,236,699,351,298,125,129,705,1263,195,475,102,193,203,135,309,113,265,458,441,218,189,940,996,211,269,179,327,206,222,209,233,406,280,215,217,311,256,317,336,188,193,283,240,297,234,153,802,239,424,272,301,439,349,219,152,148,170,1454,215,163,436,142,159,130,209,171,162,204,247,222,201,99,395,262,393,196,250,207,1044,331,2665,1705,653,576,331,345,481,230,298,220,982,474,1044,743,423,270,500,370,509,331,919,328,1841,1445,2317,1276,739,325,257,273,600,652,785,633,2164,3116,1724,1160,1322,541,411,463,317,591,353,274,334,697,734,572,609,442,330,413,435,213,239,287,271,224,274,312,288,306,207,277,南美洲
巴西,1501,694,1349,1572,845,1541,2118,1682,1621,1354,1077,1957,967,1302,999,901,1959,1387,1719,1363,1543,870,698,1339,1150,1126,1465,1500,2316,1382,1773,1335,2473,1643,2062,2029,2737,1465,2263,1741,2928,3197,3311,4193,2182,1954,1469,4149,3922,2682,2341,2887,5651,5345,3377,4726,2808,5523,3196,2313,3335,2180,1560,3042,2046,2692,3186,5192,5055,5224,2881,2886,2240,2081,1947,2475,3331,4190,2490,3453,3632,2779,3054,3055,4475,2233,2005,3263,3860,2767,5518,3993,4515,3472,3065,4946,4810,3541,5914,5540,8047,3954,6657,8956,8092,4744,5949,2610,2963,3100,3302,917,3632,4112,3782,5444,3879,4358,4377,3087,5719,3716,3148,4884,6275,5732,7309,6831,6058,7530,12492,7279,4546,4610,5680,6027,5274,7441,7692,8309,9015,7858,11808,10175,5921,6911,6595,9111,5428,4881,7522,8636,11178,8375,8303,7367,6775,3485,9378,6051,6400,6647,6791,5814,7761,8904,8100,5707,6442,6691,3100,4705,7065,5239,6192,6442,5846,5625,6221,4106,6985,4153,3401,4541,3405,4026,4253,5274,7152,5876,5427,5826,南美洲
澳大利亞,9097,7886,8159,8095,10578,8513,9380,10488,9263,9956,9355,8801,10112,8625,8553,9662,9163,8487,9370,8251,7568,9629,7407,7450,7325,6704,9788,7745,8821,9010,8432,7464,8577,9668,6896,7852,8000,6693,9125,8467,7557,7296,8067,6620,7627,8037,7664,9026,8207,9293,8979,9040,9630,9293,8723,9260,10605,9619,11287,10991,11532,9830,13405,13602,13152,12200,12691,14074,12654,13055,12736,13063,10647,13187,14207,16035,15158,13307,13733,17625,13209,15724,14804,16692,20496,11262,15733,17625,17711,18485,20064,15269,17918,16456,13102,17322,18538,16637,21900,20256,20199,20193,24930,27218,20880,25308,25130,19547,16240,14831,13470,16916,15726,18666,16024,20487,18149,13919,17470,15394,21400,12870,17448,21751,23845,29322,24260,28782,30854,26008,25718,20018,21676,19026,28882,32547,27336,28965,27508,26194,32000,27395,27895,21401,25088,20689,22540,23831,26614,19894,27761,25076,21619,25268,19821,17450,24521,18147,18305,26189,18060,20711,21084,18369,20728,17064,14644,16793,19452,15941,21124,21250,18934,20473,17883,19347,17925,16399,17579,15163,20895,13722,19215,15150,14971,14845,14009,15817,12951,12919,13010,13439,大洋洲
紐西蘭,968,626,1144,1264,1255,921,993,900,1164,797,970,917,933,850,964,1189,1007,960,1178,1068,707,1133,828,897,885,713,1019,1230,1245,1214,1054,930,779,980,836,963,1319,829,1117,1396,1294,1488,961,1007,1143,864,882,936,966,1197,1566,1261,1638,1359,1348,1547,1227,1273,927,1093,1238,905,1473,1387,1708,1661,1291,1568,1383,1322,1123,1232,1208,1064,1449,1478,1636,1575,1643,1401,1221,1256,971,1445,1491,1275,1852,1628,1882,1615,2076,1380,1464,1440,1095,1406,1671,1033,1700,1429,1877,1776,1882,1784,1557,1080,1151,984,909,1081,1124,1294,1403,1599,1483,1521,1023,1195,1318,1230,1751,1246,1718,1418,1996,2237,1751,1786,1248,1192,1522,1474,1801,1302,1864,2316,2609,1758,1987,1483,1580,1720,1567,1480,1610,1550,1577,1682,1911,1819,2138,2212,1703,1608,1306,1407,1997,1220,1962,1897,2195,2280,2495,1704,1628,1839,1508,1450,2235,2029,2601,3179,2683,2805,2573,2521,1672,1969,1698,1616,2366,1824,2775,2485,2712,2592,2628,2635,1541,1770,1586,1629,大洋洲
